Datum/Uhrzeit;Benutzer;Transponder-Nummer;Ort des Ereignisses;Ereignis;Details;;;;;;
03.03.2025 17:52;Unknown;;Personal Tür;Security System;Scharf;;;;;;
03.03.2025 17:52;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
03.03.2025 17:14;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.03.2025 17:11;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.03.2025 17:05;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.03.2025 17:05;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
03.03.2025 10:05;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.03.2025 07:29;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
03.03.2025 07:26;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.03.2025 07:05;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.03.2025 06:22;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
03.03.2025 06:22;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
28.02.2025 18:03;Unknown;;Personal Tür;Security System;Scharf;;;;;;
28.02.2025 18:03;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
28.02.2025 18:00;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.02.2025 17:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.02.2025 17:03;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.02.2025 13:44;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
28.02.2025 13:43;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
28.02.2025 07:28;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.02.2025 07:26;4, Person;3333333;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.02.2025 07:24;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
28.02.2025 07:17;4, Person;3333333;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.02.2025 07:13;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.02.2025 06:59;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
28.02.2025 06:28;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
28.02.2025 06:28;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
27.02.2025 12:09;Unknown;;Personal Tür;Security System;Scharf;;;;;;
27.02.2025 12:08;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
27.02.2025 09:39;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
27.02.2025 09:39;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
26.02.2025 13:38;Unknown;;Personal Tür;Security System;Scharf;;;;;;
26.02.2025 13:38;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
26.02.2025 12:41;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
26.02.2025 12:06;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
26.02.2025 12:04;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
26.02.2025 10:30;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
26.02.2025 09:02;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
26.02.2025 07:30;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
26.02.2025 07:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
26.02.2025 06:19;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
26.02.2025 06:19;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
25.02.2025 17:54;Unknown;;Personal Tür;Security System;Scharf;;;;;;
25.02.2025 17:54;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
25.02.2025 17:42;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.02.2025 17:09;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.02.2025 17:06;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.02.2025 07:30;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.02.2025 07:29;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.02.2025 07:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
25.02.2025 06:56;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.02.2025 06:16;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
25.02.2025 06:16;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
24.02.2025 18:04;Unknown;;Personal Tür;Security System;Scharf;;;;;;
24.02.2025 18:04;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
24.02.2025 17:55;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.02.2025 17:04;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.02.2025 17:03;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.02.2025 12:44;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
24.02.2025 12:44;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
24.02.2025 07:28;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.02.2025 07:27;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.02.2025 07:26;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
24.02.2025 06:58;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.02.2025 06:31;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
24.02.2025 06:31;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
21.02.2025 13:55;Unknown;;Personal Tür;Security System;Scharf;;;;;;
21.02.2025 13:55;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
21.02.2025 12:54;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
21.02.2025 12:27;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
21.02.2025 07:39;5, Person;5555555;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
21.02.2025 07:30;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
21.02.2025 06:58;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
21.02.2025 06:21;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
21.02.2025 06:21;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
20.02.2025 17:53;Unknown;;Personal Tür;Security System;Scharf;;;;;;
20.02.2025 17:53;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
20.02.2025 17:37;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
20.02.2025 17:29;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
20.02.2025 17:01;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
20.02.2025 07:28;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
20.02.2025 07:17;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
20.02.2025 07:00;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
20.02.2025 06:29;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
20.02.2025 06:29;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
19.02.2025 18:02;Unknown;;Personal Tür;Security System;Scharf;;;;;;
19.02.2025 18:02;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
19.02.2025 18:01;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
19.02.2025 17:32;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
19.02.2025 17:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
19.02.2025 07:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
19.02.2025 07:27;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
19.02.2025 07:23;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
19.02.2025 06:59;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
19.02.2025 06:22;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
19.02.2025 06:22;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
18.02.2025 17:56;Unknown;;Personal Tür;Security System;Scharf;;;;;;
18.02.2025 17:56;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
18.02.2025 17:54;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
18.02.2025 17:43;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
18.02.2025 17:02;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
18.02.2025 07:20;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
18.02.2025 07:15;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
18.02.2025 06:57;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
18.02.2025 06:29;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
18.02.2025 06:29;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
17.02.2025 18:11;Unknown;;Personal Tür;Security System;Scharf;;;;;;
17.02.2025 18:11;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.02.2025 18:07;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.02.2025 18:07;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.02.2025 18:06;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.02.2025 17:54;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.02.2025 17:54;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
17.02.2025 17:50;Unknown;;Personal Tür;Security System;Scharf;;;;;;
17.02.2025 17:50;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.02.2025 17:44;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
17.02.2025 17:07;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
17.02.2025 17:02;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
17.02.2025 07:25;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.02.2025 07:21;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.02.2025 07:21;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
17.02.2025 06:56;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
17.02.2025 06:25;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.02.2025 06:25;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
16.02.2025 01:59;Unknown;;Personal Tür;ACU ist on-line;;;;;;;
14.02.2025 13:42;Unknown;;Personal Tür;Security System;Scharf;;;;;;
14.02.2025 13:42;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
14.02.2025 12:15;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
14.02.2025 11:49;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
14.02.2025 07:26;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
14.02.2025 06:40;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
14.02.2025 06:33;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
14.02.2025 06:32;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
14.02.2025 06:32;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
13.02.2025 17:51;Unknown;;Personal Tür;Security System;Scharf;;;;;;
13.02.2025 17:50;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
13.02.2025 17:07;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.02.2025 17:00;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.02.2025 16:59;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
13.02.2025 16:58;4, Person;3333333;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.02.2025 16:57;4, Person;3333333;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.02.2025 13:41;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.02.2025 11:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
13.02.2025 07:32;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
13.02.2025 07:25;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.02.2025 06:56;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.02.2025 06:34;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
13.02.2025 06:34;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
12.02.2025 18:00;Unknown;;Personal Tür;Security System;Scharf;;;;;;
12.02.2025 18:00;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
12.02.2025 17:15;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
12.02.2025 17:01;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
12.02.2025 07:29;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
12.02.2025 06:59;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
12.02.2025 06:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
12.02.2025 06:27;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
11.02.2025 18:05;Unknown;;Personal Tür;Security System;Scharf;;;;;;
11.02.2025 18:04;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
11.02.2025 17:56;4, Person;3333333;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
11.02.2025 17:22;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
11.02.2025 17:02;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
11.02.2025 07:43;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
11.02.2025 06:55;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
11.02.2025 06:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
11.02.2025 06:27;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
10.02.2025 17:56;Unknown;;Personal Tür;Security System;Scharf;;;;;;
10.02.2025 17:56;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
10.02.2025 17:56;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
10.02.2025 17:44;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
10.02.2025 17:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
10.02.2025 07:37;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
10.02.2025 06:58;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
10.02.2025 06:30;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
10.02.2025 06:30;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
08.02.2025 12:37;Unknown;;Personal Tür;Security System;Scharf;;;;;;
08.02.2025 12:36;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
08.02.2025 09:37;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
08.02.2025 09:37;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
07.02.2025 15:12;Unknown;;Personal Tür;Security System;Scharf;;;;;;
07.02.2025 15:12;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
07.02.2025 14:18;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
07.02.2025 13:27;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
07.02.2025 12:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
07.02.2025 06:41;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
07.02.2025 06:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
07.02.2025 06:27;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
06.02.2025 18:12;Unknown;;Personal Tür;Security System;Scharf;;;;;;
06.02.2025 18:12;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
06.02.2025 17:48;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.02.2025 17:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.02.2025 17:02;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.02.2025 17:02;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.02.2025 07:39;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.02.2025 07:32;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.02.2025 06:59;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.02.2025 06:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
06.02.2025 06:27;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
05.02.2025 18:02;Unknown;;Personal Tür;Security System;Scharf;;;;;;
05.02.2025 18:01;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
05.02.2025 17:07;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.02.2025 17:05;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.02.2025 17:01;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.02.2025 07:23;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.02.2025 07:09;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.02.2025 07:00;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.02.2025 06:02;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
05.02.2025 06:02;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
04.02.2025 17:53;Unknown;;Personal Tür;Security System;Scharf;;;;;;
04.02.2025 17:52;4, Person;3333333;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.02.2025 17:04;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.02.2025 17:04;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.02.2025 17:02;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.02.2025 09:41;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.02.2025 07:31;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
04.02.2025 07:17;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.02.2025 07:00;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.02.2025 06:29;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
04.02.2025 06:29;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
03.02.2025 17:52;Unknown;;Personal Tür;Security System;Scharf;;;;;;
03.02.2025 17:52;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
03.02.2025 17:14;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.02.2025 17:11;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.02.2025 17:05;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.02.2025 17:05;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
03.02.2025 10:05;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.02.2025 07:29;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
03.02.2025 07:26;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.02.2025 07:05;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
03.02.2025 06:22;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
03.02.2025 06:22;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
