Datum/Uhrzeit;Benutzer;Transponder-Nummer;Ort des Ereignisses;Ereignis;Details;;;;;;
25.03.2025 18:02;Unknown;;Personal Tür;Security System;Scharf;;;;;;
25.03.2025 18:02;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
25.03.2025 17:43;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.03.2025 17:35;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.03.2025 17:05;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.03.2025 17:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.03.2025 07:30;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.03.2025 07:28;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
25.03.2025 07:22;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.03.2025 06:56;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
25.03.2025 06:24;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
25.03.2025 06:24;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
25.03.2025 06:23;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
25.03.2025 06:23;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
24.03.2025 18:03;Unknown;;Personal Tür;Security System;Scharf;;;;;;
24.03.2025 18:03;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.03.2025 18:03;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
24.03.2025 18:02;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
24.03.2025 18:01;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.03.2025 17:03;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.03.2025 17:02;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
